Cause of death	Under 1 year	1 to 4 years	5 to 14 years	15 to 24 years	25 to 34 years 	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
Influenza and pneumonia	222	109	103	163	331	784	1909	3152	5547	14859	25535
Chronic lower respiratory diseases	43	57	118	149	263	796	4153	12777	28664	48041	32857
Pneumonitis due to solids and liquids	10	8	16	47	70	154	436	884	1724	5187	8451
Other diseases of respiratory system	319	100	66	152	216	493	1376	3038	5556	9535	7657
Peptic ulcer	2	0	2	6	20	78	293	378	487	828	951
Diseases of appendix	1	2	10	16	9	19	40	56	92	110	81
Hernia	35	5	2	2	8	35	98	170	244	474	625
Chronic liver disease and cirrhosis	4	4	0	30	384	2570	8212	8004	5167	3694	1093
..Alcoholic liver disease	0	0	0	17	293	1834	5126	4309	1959	747	118
..Other chronic liver disease and cirrhosis 	4	4	0	13	91	736	3086	3695	3208	2947	975
Cholelithiasis and other disorders of gallbladder	1	2	1	7	23	54	132	240	482	1011	1284
"Nephritis, nephrotic syndrome and nephrosis"	144	22	24	86	261	754	2233	4440	7752	14711	16021
"   specified as acute or chronic, and renal scerosis, unspecified"	1	2	3	8	17	51	126	208	384	928	1230
..Renal failure	138	16	18	77	237	696	2091	4205	7330	13718	14737
Certain conditions originating in the perinatal period	14466	70	22	17	3	4	5	3	3	1	0
"Congenital malformations, deformations and chromosomal abnormalities"	5785	545	374	402	417	513	685	686	341	406	265
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	3617	237	110	575	877	1424	2195	2229	2499	5834	13860
All other diseases (Residual)	1337	599	876	1957	3149	7068	16499	22895	28838	61153	93813
..Transport accidents	127	581	1374	10928	7452	6829	7199	4838	3194	2983	1326
..Motor vehicle accidents	124	551	1285	10568	7087	6370	6530	4359	2940	2845	1277
..Other land transport accidents	1	19	53	174	134	181	235	123	81	61	18
"....Water, air and space, and other and unspecified transport accidents and their sequelae"	2	11	36	186	231	278	434	356	173	77	31
..Nontransport accidents	1158	1007	820	4969	7525	10102	13116	7355	5559	10753	14477
....Falls	24	36	32	233	334	593	1304	1739	2594	6552	9188
....Accidental drowning and submersion 	57	458	224	630	381	417	481	324	194	184	88
"....Accidental exposure to smoke, fire and flames"	38	201	211	194	222	307	488	492	421	436	272
....Accidental poisoning and exposure to	19	34	81	3159	5700	7575	9006	3120	602	355	192
....Other and unspecified nontransport accidents and their sequelae	1019	260	226	598	794	1119	1755	1623	1717	3195	4730
Intentional self-harm (suicide)	0	0	184	4140	5278	6722	7778	5069	2444	2119	858
..Intentional self-harm (suicide) by discharge of firearms	0	0	53	1900	2306	2879	3531	2786	1700	1589	606
..Intentional self-harm (suicide) by other and unspecified means and their sequelae	0	0	131	2240	2972	3843	4247	2283	744	530	252
Assault (homicide)	352	398	346	5551	4758	3052	2140	980	411	268	80
Events of undetermined intent	88	49	49	579	872	1251	1501	599	183	132	70
Complications of medical and surgical care	22	23	21	30	72	150	250	398	486	712	433
Enterocolitis due to clostridium difficile	4	1	1	4	14	31	107	313	876	2338	2647
